tournament_key,tournament_name,category,start_date,end_date,player_id,player_name,nationality,player_type_code,player_type_desc,match_type_code,match_type_desc,event_classification_code,event_classification_desc,matches_played,wins,losses,round_robin_position,round_robin_group_size,round_robin_group_complete,round_robin_matches_played,round_robin_wins,round_robin_losses,elimination_matches_seen,highest_round_order,highest_round_name,last_match_id,last_match_status,status,live_points,collected_at
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800707809,Aitana Armesto Munoz,ESP,G,Girls,S,Singles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,1183686282,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800749524,Aitana Pesquera Navarro,ESP,G,Girls,S,Singles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,1183686293,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800783864,Aleix Galindo Puig,ESP,B,Boys,S,Singles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,1183686236,Played and completed,eliminated,,2026-09-08T23:55:21.151Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800704595,Alejandro Guardia,ESP,B,Boys,S,Singles,Q,Qualifying Draw,2,1,1,,,false,0,0,0,2,2,2nd Round,1183686244,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800700675,Alejandro Hernandez Ramada,ESP,B,Boys,S,Singles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,2nd Round,1183686214,To be played,still_alive_or_champion,,2026-09-08T23:55:21.151Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800762826,Alejandro Marco,ESP,B,Boys,S,Singles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,2nd Round,1183686218,To be played,still_alive_or_champion,,2026-09-08T23:55:21.151Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800702475,Alex Bassas Vila,ESP,B,Boys,S,Singles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,1183686234,Played and completed,eliminated,,2026-09-08T23:55:21.151Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800674941,Almira Tashipova,KAZ,G,Girls,S,Singles,Q,Qualifying Draw,1,0,1,,,false,0,0,0,1,1,1st Round,1183686318,Played and completed,eliminated,,2026-09-08T23:55:21.153Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800708031,Alvaro Lago Furio,ESP,B,Boys,S,Singles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,1183686224,Played and completed,eliminated,,2026-09-08T23:55:21.151Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800757316,Ana Clara Considera Sepulcri,BRA,G,Girls,S,Singles,M,Main Draw,1,0,1,,,false,0,0,0,1,1,1st Round,1183686284,Played and completed,eliminated,,2026-09-08T23:55:21.152Z
J-J100-ESP-2026-007,J100 El Prat de Llobregat,J100,2026-09-07,2026-09-12,800657191,Andreea Olariu,ROU,G,Girls,S,Singles,M,Main Draw,1,1,0,,,false,0,0,0,2,2,2nd Round,1183686273,To be played,still_alive_or_champion,,2026-09-08T23:55:21.152Z
