official_rebuild_rank,simulated_rank,player_id,player_name,gender,country,country_name,birth_year,official_rebuild_points,official_rebuild_singles_points,official_rebuild_doubles_raw,official_rebuild_doubles_weighted,official_rebuild_singles_count,official_rebuild_doubles_count,simulated_points,simulated_singles_points,simulated_doubles_raw,simulated_doubles_weighted,simulated_singles_results_used,simulated_doubles_results_used,best_singles_1,best_singles_2,best_singles_3,best_singles_4,best_singles_5,best_singles_6,best_doubles_1,best_doubles_2,best_doubles_3,best_doubles_4,best_doubles_5,best_doubles_6,calculated_at
119,119,800774722,Amaury Abbas,M,FRA,France,2009,581.5,496,342,85.5,6,6,581.5,496,342,85.5,6,6,140 pts | countable | J300 | SF | J300 Zapopan | 2025-11-17,100 pts | countable | J100 | WR | J100 Zapopan | 2025-11-10,100 pts | countable | J100 | WR | J100 Balma | 2025-10-20,60 pts | countable | J300 | R16 | J300 Villena | 2026-03-16,60 pts | countable | J60 | WR | J60 Casablanca | 2025-10-13,36 pts | non_countable | J200 | R16 | J200 Cap d'Ail | 2026-03-30,105 pts | countable | J200 | RU | J200 Hammamet | 2026-01-13,75 pts | countable | J300 | QF | J300 Villena | 2026-03-16,45 pts | countable | J300 | R16 | J300 Zapopan | 2025-11-17,45 pts | countable | J100 | RU | J100 Zapopan | 2025-11-10,45 pts | countable | J100 | RU | J100 Pazardzhik | 2025-06-16,27 pts | non_countable | J100 | SF | J100 Balma | 2025-10-20,2026-06-02T20:42:05.222Z
120,120,800597380,Dani Szabo,M,CAN,Canada,2008,579.75,480,399,99.75,6,6,579.75,480,399,99.75,6,6,140 pts | countable | J200 | RU | J200 Montreal | 2025-09-08,100 pts | countable | J100 | WR | J100 Quebec City | 2026-04-27,60 pts | non_countable | J100 | RU | J100 Ile des Soeurs | 2026-05-04,60 pts | countable | J100 | RU | J100 Kingston | 2026-04-20,60 pts | countable | J200 | QF | J200 Woodbridge | 2026-04-07,60 pts | countable | J100 | RU | J100 Woodbridge | 2025-10-20,150 pts | countable | J200 | WR | J200 Montreal | 2025-09-08,75 pts | countable | J300 | QF | J300 San Diego (North American Regional Championships) | 2026-03-16,75 pts | countable | J100 | WR | J100 Quebec City | 2025-09-15,45 pts | countable | J300 | R16 | J300 Bradenton | 2025-12-01,27 pts | countable | J100 | SF | J100 Kingston | 2026-04-20,27 pts | countable | J100 | SF | J100 Moenchengladbach | 2025-07-14,2026-06-02T20:42:05.222Z
121,121,800679317,Eito Komada,M,JPN,Japan,2008,578.5,408,682,170.5,6,6,578.5,408,682,170.5,6,6,140 pts | countable | J200 | RU | J200 Tainan | 2025-11-25,100 pts | countable | J100 | WR | J100 Huzhou | 2026-05-18,60 pts | countable | J300 | R16 | J300 Pune (Asia/Oceania Closed Regional Championships) | 2026-04-20,36 pts | countable | J200 | R16 | J200 Kuala Lumpur | 2026-04-14,36 pts | countable | J100 | SF | J100 Andong | 2025-10-28,36 pts | countable | J200 | R16 | J200 Nanjing | 2025-09-09,225 pts | countable | J300 | WR | J300 Wanju (Closed Asia Regional Championship) | 2025-10-06,157 pts | countable | J300 | RU | J300 Pune (Asia/Oceania Closed Regional Championships) | 2026-04-20,75 pts | non_countable | J100 | WR | J100 Huzhou | 2026-05-18,75 pts | countable | J300 | QF | J300 Kuching | 2026-04-07,75 pts | countable | J200 | SF | J200 Tainan | 2025-11-25,75 pts | countable | J100 | WR | J100 Andong | 2025-10-28,2026-06-02T20:42:05.222Z
122,122,800688505,Max Villar,M,ESP,Spain,2008,576,456,480,120,6,6,576,456,480,120,6,6,100 pts | countable | J200 | SF | J200 Gurugram | 2026-01-12,100 pts | countable | J100 | WR | J100 Guadalajara | 2025-11-03,100 pts | countable | J100 | WR | J100 Queretaro | 2025-10-27,60 pts | countable | J300 | R16 | J300 Villena | 2026-03-16,60 pts | countable | J60 | WR | J60 Porto | 2025-08-04,36 pts | countable | J200 | R16 | J200 Istres | 2026-04-06,105 pts | countable | J200 | RU | J200 Istres | 2026-04-06,105 pts | countable | J200 | RU | J200 Florence | 2026-04-01,105 pts | countable | J200 | RU | J200 Gurugram | 2026-01-12,75 pts | countable | J100 | WR | J100 Vic | 2025-09-01,45 pts | countable | J300 | R16 | J300 Villena | 2026-03-16,45 pts | countable | J100 | RU | J100 Queretaro | 2025-10-27,2026-06-02T20:42:05.222Z
123,123,800661621,Joshua Adamson,M,CAN,Canada,2009,575,440,540,135,6,6,575,440,540,135,6,6,140 pts | countable | J200 | RU | J200 Punta Cana | 2026-02-09,60 pts | countable | J300 | R16 | J300 Plovdiv | 2026-04-28,60 pts | countable | J60 | WR | J60 Itajaí | 2025-10-27,60 pts | countable | J100 | RU | J100 Neunkirchen | 2025-07-07,60 pts | countable | J100 | RU | J100 Timisoara | 2025-07-01,60 pts | countable | J60 | WR | J60 Timisoara | 2025-06-24,105 pts | countable | J300 | SF | J300 Plovdiv | 2026-04-28,105 pts | countable | J200 | RU | J200 Haskovo | 2026-04-21,105 pts | countable | J200 | RU | J200 Punta Cana | 2026-02-09,75 pts | countable | J300 | QF | J300 San Diego (North American Regional Championships) | 2026-03-16,75 pts | countable | J200 | SF | J200 Montreal | 2025-09-08,75 pts | countable | J300 | QF | J300 Repentigny | 2025-08-24,2026-06-02T20:42:05.223Z
124,124,800586416,Alan Aiukhanov,M,RUS,Russia,2008,566.5,424,570,142.5,6,6,566.5,424,570,142.5,6,6,150 pts | countable | J500 | QF | J500 Osaka | 2025-09-22,100 pts | countable | J300 | QF | J300 Plovdiv | 2026-04-28,60 pts | countable | J200 | QF | J200 Fergana | 2025-10-06,60 pts | countable | J200 | QF | J200 Basel | 2025-07-29,36 pts | countable | J200 | R16 | J200 Belgrade | 2025-08-25,18 pts | countable | J200 | R32 | J200 Nonthaburi | 2026-02-23,150 pts | countable | J200 | WR | J200 Prato | 2026-05-05,150 pts | countable | J200 | WR | J200 Nonthaburi | 2026-02-23,75 pts | countable | J200 | SF | J200 Targu Jiu | 2026-05-18,75 pts | countable | J300 | QF | J300 Nonthaburi | 2026-03-02,75 pts | countable | J300 | QF | J300 Astana | 2025-09-08,45 pts | countable | J200 | QF | J200 Belgrade | 2025-08-25,2026-06-02T20:42:05.223Z
125,125,800707189,Jeffrey Strydom,M,RSA,South Africa,2009,562.5,480,330,82.5,6,6,562.5,480,330,82.5,6,6,100 pts | countable | J100 | WR | J100 Potchefstroom | 2026-03-02,100 pts | countable | J100 | WR | J100 Bloemfontein | 2026-02-11,100 pts | countable | J100 | WR | J100 Johannesburg | 2025-08-25,60 pts | countable | J200 | QF | J200 Pretoria | 2025-09-15,60 pts | countable | J200 | QF | J200 Pretoria | 2025-09-08,60 pts | non_countable | J60 | WR | J60 Pretoria | 2025-06-09,75 pts | countable | J200 | SF | J200 Cairo (Africa Regional Championships) | 2026-03-23,75 pts | countable | J100 | WR | J100 Harare | 2025-07-28,45 pts | non_countable | J100 | RU | J100 Bloemfontein | 2026-02-11,45 pts | countable | J200 | QF | J200 Kolkata | 2026-01-19,45 pts | countable | J200 | QF | J200 Cairo | 2025-11-03,45 pts | countable | J200 | QF | J200 Pretoria | 2025-09-15,2026-06-02T20:42:05.223Z
126,126,800731732,Jerrid Gaines Jr,M,USA,USA,2009,556,440,464,116,6,6,556,440,464,116,6,6,100 pts | countable | J300 | QF | J300 Bradenton | 2025-12-01,100 pts | countable | J100 | WR | J100 Rome | 2025-10-20,60 pts | countable | J300 | R16 | J300 Charleroi-Marcinelle | 2026-05-25,60 pts | countable | J200 | QF | J200 College Grove | 2026-05-04,60 pts | countable | J300 | R16 | J300 Tucson | 2026-03-09,60 pts | countable | J60 | WR | J60 Kerrville | 2025-09-22,157 pts | countable | J300 | RU | J300 Tucson | 2026-03-09,75 pts | countable | J200 | SF | J200 Sumter | 2026-04-27,75 pts | countable | J100 | WR | J100 Santo Domingo | 2025-07-07,67 pts | countable | J500 | R16 | J500 Fort Lauderdale | 2025-12-08,45 pts | non_countable | J200 | QF | J200 College Grove | 2026-05-04,45 pts | non_countable | J300 | R16 | J300 San Diego (North American Regional Championships) | 2026-03-16,2026-06-02T20:42:05.223Z
127,127,800642706,Pedro Albuquerque Dietrich,M,BRA,Brazil,2008,555.5,400,622,155.5,6,6,555.5,400,622,155.5,6,6,100 pts | countable | J100 | WR | J100 Chiclayo | 2025-11-24,60 pts | non_countable | J200 | QF | J200 Targu Jiu | 2026-05-18,60 pts | non_countable | J200 | QF | J200 Hanover | 2026-05-11,60 pts | countable | J200 | QF | J200 Asuncion | 2026-03-30,60 pts | countable | J300 | R16 | J300 Asuncion | 2026-03-02,60 pts | countable | J300 | R16 | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,150 pts | countable | J200 | WR | J200 Lima | 2025-09-22,112 pts | countable | J500 | QF | J500 Gaspar | 2026-03-16,105 pts | countable | J300 | SF | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,105 pts | countable | J200 | RU | J200 Bogota | 2025-07-14,75 pts | countable | J300 | QF | J300 Barranquilla | 2026-01-26,75 pts | countable | J100 | WR | J100 Chiclayo | 2025-11-24,2026-06-02T20:42:05.223Z
128,128,800707613,Yen-Chun Wang,M,TPE,Chinese Taipei,2008,551.75,400,607,151.75,6,6,551.75,400,607,151.75,6,6,100 pts | countable | J300 | QF | J300 Kuching | 2026-04-07,60 pts | countable | J200 | QF | J200 Kolkata | 2026-01-19,60 pts | countable | J200 | QF | J200 Gurugram | 2026-01-12,60 pts | countable | J300 | R16 | J300 New Delhi | 2026-01-05,60 pts | countable | J200 | QF | J200 Tainan | 2025-11-25,60 pts | non_countable | J60 | WR | J60 Kaohsiung | 2025-11-04,157 pts | countable | J300 | RU | J300 Wanju (Closed Asia Regional Championship) | 2025-10-06,150 pts | countable | J200 | WR | J200 Tainan | 2025-11-25,75 pts | countable | J300 | QF | J300 Santa Croce Sull’Arno | 2026-05-11,75 pts | non_countable | J200 | SF | J200 Nonthaburi | 2026-02-23,75 pts | countable | J200 | SF | J200 Kolkata | 2026-01-19,75 pts | non_countable | J100 | WR | J100 Andong | 2025-10-28,2026-06-02T20:42:05.223Z
129,129,800603213,Eoghan Jennings,M,IRL,Ireland,2008,550.5,440,442,110.5,6,6,550.5,440,442,110.5,6,6,100 pts | countable | J200 | SF | J200 Punta Cana | 2026-02-09,100 pts | countable | J200 | SF | J200 Pretoria | 2025-09-08,60 pts | countable | J200 | QF | J200 Aldershot | 2026-04-20,60 pts | countable | J200 | QF | J200 Santa Cruz | 2025-11-03,60 pts | countable | J60 | WR | J60 Belfast | 2025-06-23,60 pts | countable | J100 | RU | J100 Guatemala | 2025-06-09,105 pts | countable | J300 | SF | J300 Villena | 2026-03-16,75 pts | countable | J200 | SF | J200 Aldershot | 2026-04-20,75 pts | countable | J200 | SF | J200 Oslo | 2025-11-24,75 pts | countable | J200 | SF | J200 Pretoria | 2025-09-08,67 pts | countable | J500 | R16 | J500 Cairo | 2026-04-06,45 pts | countable | J200 | QF | J200 La Paz | 2025-11-10,2026-06-02T20:42:05.223Z
130,130,800672538,Dominik Macej,M,SVK,Slovakia,2009,544.5,432,450,112.5,6,6,544.5,432,450,112.5,6,6,140 pts | countable | J200 | RU | J200 Kosice | 2026-01-06,100 pts | countable | J100 | WR | J100 Saint Gregoire | 2025-11-24,60 pts | countable | J200 | QF | J200 Targu Jiu | 2026-05-18,60 pts | countable | J100 | RU | J100 Trnava | 2026-02-17,36 pts | countable | J200 | R16 | J200 Aldershot | 2026-04-20,36 pts | countable | J60 | RU | J60 Porec | 2025-10-06,75 pts | countable | J200 | SF | J200 St. Poelten | 2026-05-05,75 pts | countable | J200 | SF | J200 Aldershot | 2026-04-20,75 pts | countable | J200 | SF | J200 Istres | 2026-04-06,75 pts | countable | J300 | QF | J300 San Jose | 2026-01-19,75 pts | countable | J200 | SF | J200 Kosice | 2026-01-06,75 pts | countable | J100 | WR | J100 Saint Gregoire | 2025-11-24,2026-06-02T20:42:05.223Z
131,131,800682637,Mason Taube,M,USA,USA,2008,544.25,440,417,104.25,6,6,544.25,440,417,104.25,6,6,140 pts | countable | J200 | RU | J200 Woodbridge | 2026-04-07,60 pts | countable | J300 | R16 | J300 Tucson | 2026-03-09,60 pts | countable | J300 | R16 | J300 Spring - Pan American ITF | 2025-10-06,60 pts | countable | J200 | QF | J200 Corpus Christi | 2025-09-29,60 pts | countable | J100 | RU | J100 Vancouver | 2025-07-07,60 pts | countable | J60 | WR | J60 Cincinnati | 2025-06-09,150 pts | countable | J200 | WR | J200 Punta Cana | 2026-02-16,75 pts | countable | J200 | SF | J200 Woodbridge | 2026-04-07,75 pts | countable | J300 | QF | J300 San Diego (North American Regional Championships) | 2026-03-16,45 pts | countable | J200 | QF | J200 Punta Cana | 2026-02-09,45 pts | countable | J200 | QF | J200 Corpus Christi | 2025-09-29,27 pts | countable | J100 | SF | J100 Vancouver | 2025-07-07,2026-06-02T20:42:05.223Z
132,132,800646359,Eyad Reda Ezzat Mohamed Sherif,M,EGY,Egypt,2008,543.5,416,510,127.5,6,6,543.5,416,510,127.5,6,6,100 pts | countable | J200 | SF | J200 Kolkata | 2026-01-19,100 pts | countable | J100 | WR | J100 Timisoara | 2025-07-01,60 pts | countable | J200 | QF | J200 Cairo (Africa Regional Championships) | 2026-03-23,60 pts | countable | J300 | R16 | J300 New Delhi | 2026-01-05,60 pts | countable | J100 | RU | J100 Cairo | 2025-08-04,36 pts | non_countable | J200 | R16 | J200 Pretoria | 2025-09-15,105 pts | countable | J200 | RU | J200 Cairo (Africa Regional Championships) | 2026-03-23,105 pts | countable | J200 | RU | J200 Kolkata | 2026-01-19,75 pts | countable | J300 | QF | J300 Villena | 2026-03-16,75 pts | countable | J300 | QF | J300 Casablanca | 2026-02-09,75 pts | non_countable | J200 | SF | J200 Gurugram | 2026-01-12,75 pts | countable | J300 | QF | J300 New Delhi | 2026-01-05,2026-06-02T20:42:05.223Z
133,133,800630414,Dominik Vagner,M,CZE,Czechia,2009,542.75,374,675,168.75,6,6,542.75,374,675,168.75,6,6,100 pts | countable | J200 | SF | J200 Villach | 2026-04-27,100 pts | countable | J100 | WR | J100 Potchefstroom | 2026-02-23,60 pts | countable | J200 | QF | J200 St. Poelten | 2026-05-05,60 pts | countable | J100 | RU | J100 Bloemfontein | 2026-02-11,36 pts | countable | J200 | R16 | J200 Targu Jiu | 2026-05-18,18 pts | non_countable | J200 | R32 | J200 Piestany | 2026-04-14,150 pts | countable | J200 | WR | J200 Targu Jiu | 2026-05-18,150 pts | countable | J200 | WR | J200 St. Poelten | 2026-05-05,150 pts | countable | J200 | WR | J200 Piestany | 2026-04-14,105 pts | countable | J200 | RU | J200 Villach | 2026-04-27,75 pts | countable | J100 | WR | J100 Bloemfontein | 2026-02-11,45 pts | non_countable | J60 | WR | J60 Nairobi | 2025-10-27,2026-06-02T20:42:05.223Z
133,133,800708825,Zavier Augustin,M,USA,USA,2008,542.75,361,727,181.75,6,6,542.75,361,727,181.75,6,6,100 pts | countable | J200 | SF | J200 Punta Cana | 2026-02-09,60 pts | countable | J300 | R16 | J300 San Diego (North American Regional Championships) | 2026-03-16,60 pts | countable | J300 | R16 | J300 San Jose | 2026-01-19,60 pts | countable | J100 | RU | J100 Stabekk | 2025-11-17,45 pts | countable | J500 | R32 | J500 Cairo | 2026-04-06,36 pts | non_countable | J200 | R16 | J200 College Grove | 2026-05-04,157 pts | countable | J300 | RU | J300 Barranquilla | 2026-01-26,150 pts | countable | J200 | WR | J200 Punta Cana | 2026-02-09,105 pts | countable | J200 | RU | J200 Sumter | 2026-04-27,105 pts | countable | J200 | RU | J200 Piestany | 2026-04-14,105 pts | countable | J300 | SF | J300 San Diego (North American Regional Championships) | 2026-03-16,105 pts | countable | J300 | SF | J300 Salinas | 2026-02-02,2026-06-02T20:42:05.223Z
135,135,800790501,Tyler Lee,M,USA,USA,2009,540.5,415,502,125.5,6,6,540.5,415,502,125.5,6,6,200 pts | countable | J200 | WR | J200 College Grove | 2026-05-04,60 pts | countable | J200 | QF | J200 Sumter | 2026-04-27,60 pts | countable | J300 | R16 | J300 Spring - Pan American ITF | 2025-10-06,45 pts | countable | J500 | R32 | J500 Fort Lauderdale | 2025-12-08,30 pts | countable | J300 | R32 | J300 Bradenton | 2025-12-01,20 pts | countable | J100 | QF | J100 Mount Pleasant | 2026-04-20,105 pts | countable | J200 | RU | J200 College Grove | 2026-05-04,105 pts | countable | J300 | SF | J300 Spring - Pan American ITF | 2025-10-06,75 pts | countable | J100 | WR | J100 Mount Pleasant | 2026-04-20,75 pts | countable | J300 | QF | J300 Tucson | 2026-03-09,75 pts | countable | J200 | SF | J200 Las Vegas | 2026-03-02,67 pts | countable | J500 | R16 | J500 Fort Lauderdale | 2025-12-08,2026-06-02T20:42:05.223Z
136,136,800692811,Ford McCollum,M,USA,USA,2008,538.25,392,585,146.25,6,6,538.25,392,585,146.25,6,6,140 pts | countable | J200 | RU | J200 Las Vegas | 2026-03-02,60 pts | countable | J200 | QF | J200 Woodbridge | 2026-04-07,60 pts | countable | J300 | R16 | J300 San Diego (North American Regional Championships) | 2026-03-16,60 pts | countable | J300 | R16 | J300 Tucson | 2026-03-09,36 pts | countable | J200 | R16 | J200 Sumter | 2026-04-27,36 pts | countable | J200 | R16 | J200 Montreal | 2025-09-08,150 pts | countable | J200 | WR | J200 Woodbridge | 2026-04-07,150 pts | countable | J200 | WR | J200 Las Vegas | 2026-03-02,135 pts | countable | JGS | R16 | US Open Junior Tennis Championships | 2025-08-31,75 pts | countable | J200 | SF | J200 Sumter | 2026-04-27,75 pts | countable | J300 | QF | J300 Tucson | 2026-03-09,0 pts | non_countable | J300 | R32 | J300 Traralgon | 2026-01-16,2026-06-02T20:42:05.223Z
137,137,800698197,Enrique Carrascosa Diaz,M,ESP,Spain,2008,537.25,496,165,41.25,6,3,537.25,496,165,41.25,6,3,200 pts | countable | J200 | WR | J200 Hammamet | 2026-01-13,100 pts | countable | J200 | SF | J200 Benicarlo | 2026-03-10,100 pts | countable | J100 | WR | J100 Barcelona | 2025-08-26,60 pts | countable | J300 | R16 | J300 Sanxenxo | 2025-09-23,36 pts | countable | J100 | SF | J100 Barcelona | 2025-08-19,0 pts | non_countable | J300 | R64 | J300 Villena | 2026-03-16,75 pts | countable | J200 | SF | J200 Hammamet | 2026-01-13,45 pts | countable | J300 | R16 | J300 Villena | 2026-03-16,45 pts | countable | J300 | R16 | J300 Bamberg | 2025-06-10,,,,2026-06-02T20:42:05.223Z
138,138,800659871,Felipe Mamede,M,BRA,Brazil,2009,531.25,385,585,146.25,6,6,531.25,385,585,146.25,6,6,100 pts | countable | J100 | WR | J100 Salinas | 2025-06-23,60 pts | countable | J300 | R16 | J300 Asuncion | 2026-03-02,60 pts | countable | J300 | R16 | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,60 pts | countable | J300 | R16 | J300 Lima | 2026-02-09,60 pts | countable | J100 | RU | J100 Cali | 2025-07-21,45 pts | countable | J500 | R32 | J500 Gaspar | 2026-03-16,150 pts | countable | J200 | WR | J200 Asuncion | 2026-03-30,105 pts | countable | J300 | SF | J300 Asuncion | 2026-03-02,105 pts | countable | J200 | RU | J200 Santa Cruz | 2025-11-03,75 pts | non_countable | J300 | QF | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,75 pts | countable | J300 | QF | J300 Lima | 2026-02-09,75 pts | countable | J300 | QF | J300 Salinas | 2026-02-02,2026-06-02T20:42:05.223Z
138,138,800708219,Marwan Ehab,M,EGY,Egypt,2008,531.25,441,361,90.25,6,6,531.25,441,361,90.25,6,6,140 pts | countable | J300 | SF | J300 Cairo | 2026-03-30,100 pts | countable | J200 | SF | J200 Cairo (Africa Regional Championships) | 2026-03-23,60 pts | countable | J100 | RU | J100 Cairo | 2025-10-27,60 pts | countable | J60 | WR | J60 Cairo | 2025-09-15,45 pts | countable | J500 | R32 | J500 Cairo | 2026-04-06,36 pts | non_countable | J200 | R16 | J200 Cairo | 2025-11-10,112 pts | countable | J500 | QF | J500 Cairo | 2026-04-06,105 pts | countable | J200 | RU | J200 Cairo | 2025-11-03,45 pts | countable | J60 | WR | J60 Cairo | 2026-04-21,45 pts | countable | J100 | RU | J100 Cairo | 2025-08-18,27 pts | countable | J60 | RU | J60 Cairo | 2025-09-08,27 pts | countable | J100 | SF | J100 Cairo | 2025-08-04,2026-06-02T20:42:05.223Z
140,140,800661480,Tomas Re,M,ARG,Argentina,2008,530.25,385,581,145.25,6,6,530.25,385,581,145.25,6,6,100 pts | countable | J300 | QF | J300 Porto Alegre | 2026-03-09,60 pts | countable | J200 | QF | J200 Villach | 2026-04-27,60 pts | countable | J300 | R16 | J300 Asuncion | 2026-03-02,60 pts | countable | J300 | R16 | J300 Santa Cruz (South America Regional Championships) | 2026-02-23,60 pts | countable | J60 | WR | J60 Villa María | 2025-08-11,45 pts | countable | J500 | R32 | J500 Gaspar | 2026-03-16,150 pts | countable | J200 | WR | J200 Lima | 2025-09-22,112 pts | countable | J500 | QF | J500 Offenbach | 2026-05-04,112 pts | countable | J500 | QF | J500 Gaspar | 2026-03-16,105 pts | countable | J300 | SF | J300 Asuncion | 2026-03-02,75 pts | countable | J200 | SF | J200 Santa Cruz | 2025-11-03,27 pts | countable | J60 | RU | J60 Bludenz | 2025-06-30,2026-06-02T20:42:05.223Z
141,141,800569863,Patrick-Valentin Moise,M,GER,Germany,2008,529,336,772,193,6,6,529,336,772,193,6,6,60 pts | countable | J60 | WR | J60 Ickern | 2026-03-17,60 pts | countable | J100 | RU | J100 Hamburg | 2026-03-09,60 pts | countable | J100 | RU | J100 The Hague | 2026-02-17,60 pts | countable | J200 | QF | J200 Oberhaching | 2026-02-02,60 pts | countable | J60 | WR | J60 Estepona | 2025-09-16,36 pts | non_countable | J200 | R16 | J200 Hanover | 2026-05-11,262 pts | countable | J500 | RU | J500 Offenbach | 2026-05-04,150 pts | countable | J200 | WR | J200 Oberhaching | 2026-02-02,105 pts | countable | J200 | RU | J200 Piestany | 2026-04-14,105 pts | countable | J300 | SF | J300 Sanxenxo | 2025-09-23,75 pts | countable | J100 | WR | J100 The Hague | 2026-02-17,75 pts | countable | J200 | SF | J200 Rakovnik | 2025-09-01,2026-06-02T20:42:05.223Z
142,142,800757262,Jia Hu,M,CHN,"China, P.R.",2009,528.5,440,354,88.5,6,6,528.5,440,354,88.5,6,6,100 pts | countable | J100 | WR | J100 Wuhan | 2026-04-21,100 pts | countable | J100 | WR | J100 Zhangjiagang | 2025-09-23,60 pts | countable | J300 | R16 | J300 Kuching | 2026-04-07,60 pts | countable | J100 | RU | J100 Tauranga | 2026-01-20,60 pts | countable | J60 | WR | J60 Chengdu | 2025-10-14,60 pts | countable | J200 | QF | J200 Nanjing | 2025-09-09,105 pts | countable | J200 | RU | J200 Nanjing | 2025-09-09,75 pts | countable | J200 | SF | J200 Hanover | 2026-05-11,75 pts | countable | J100 | WR | J100 Zhangjiagang | 2025-09-23,45 pts | countable | J60 | WR | J60 Chengdu | 2025-10-14,27 pts | countable | J200 | R16 | J200 Kuala Lumpur | 2026-04-14,27 pts | countable | J100 | SF | J100 Launceston | 2026-02-09,2026-06-02T20:42:05.223Z
143,143,800717018,Benjamin perez,M,CHI,Chile,2009,520,400,480,120,6,6,520,400,480,120,6,6,100 pts | countable | J200 | SF | J200 Santiago | 2025-09-29,60 pts | countable | J200 | QF | J200 Asuncion | 2026-03-30,60 pts | countable | J300 | R16 | J300 Asuncion | 2026-03-02,60 pts | countable | J200 | QF | J200 Salta | 2025-10-06,60 pts | countable | J200 | QF | J200 Lima | 2025-09-22,60 pts | countable | J300 | R16 | J300 Asuncion (Junior Pan American Games) | 2025-08-11,105 pts | countable | J200 | RU | J200 Salta | 2025-10-06,75 pts | countable | J100 | WR | J100 Luque | 2026-04-06,75 pts | countable | J200 | SF | J200 Asuncion | 2026-03-30,75 pts | countable | J300 | QF | J300 Barranquilla | 2026-01-26,75 pts | countable | J300 | QF | J300 San Jose | 2026-01-19,75 pts | countable | J300 | QF | J300 Asuncion (Junior Pan American Games) | 2025-08-11,2026-06-02T20:42:05.224Z
144,144,800587847,Antonio Marigliano,M,ITA,Italy,2008,519.5,446,294,73.5,6,6,519.5,446,294,73.5,6,6,140 pts | countable | J200 | RU | J200 Hammamet | 2026-01-13,90 pts | countable | J500 | R16 | J500 Milan | 2026-05-18,60 pts | countable | J200 | QF | J200 Valencia | 2026-03-02,60 pts | countable | J300 | R16 | J300 Casablanca | 2026-02-09,60 pts | countable | J200 | QF | J200 Mugla | 2025-09-29,36 pts | non_countable | J200 | R16 | J200 Prato | 2026-05-05,105 pts | countable | J200 | RU | J200 Salsomaggiore | 2026-04-27,45 pts | countable | J200 | QF | J200 Florence | 2026-04-01,45 pts | countable | J300 | R16 | J300 Vrsar | 2026-03-23,45 pts | countable | J200 | QF | J200 Hammamet | 2026-01-13,27 pts | countable | J100 | SF | J100 Mostar | 2025-09-15,27 pts | countable | J100 | SF | J100 Pazardzhik | 2025-06-16,2026-06-02T20:42:05.224Z
145,145,800644692,Jack Cheng,M,HKG,"Hong Kong, China",2008,516.5,416,402,100.5,6,6,516.5,416,402,100.5,6,6,100 pts | countable | J100 | WR | J100 Chengdu | 2025-10-28,100 pts | countable | J200 | SF | J200 Hong Kong | 2025-09-30,60 pts | countable | J300 | R16 | J300 Beijing | 2025-09-16,60 pts | countable | J200 | QF | J200 Nanjing | 2025-09-09,60 pts | countable | J60 | WR | J60 Shenzhen | 2025-08-19,36 pts | non_countable | J200 | R16 | J200 Villach | 2026-04-27,105 pts | countable | J200 | RU | J200 Hong Kong | 2025-09-30,75 pts | countable | J200 | SF | J200 Haskovo | 2026-04-21,75 pts | countable | J200 | SF | J200 Cap d'Ail | 2026-03-30,75 pts | countable | J300 | QF | J300 Beijing | 2025-09-16,45 pts | countable | J200 | QF | J200 Nanjing | 2025-09-09,27 pts | countable | J60 | RU | J60 Shenzhen | 2025-08-19,2026-06-02T20:42:05.224Z
146,146,800596150,Matisse MARTIN,M,FRA,France,2009,516,480,144,36,6,6,516,480,144,36,6,6,140 pts | countable | J200 | RU | J200 Cap d'Ail | 2026-03-30,100 pts | countable | J200 | SF | J200 Salsomaggiore | 2026-04-27,60 pts | countable | J300 | R16 | J300 Beaulieu-sur-Mer | 2026-04-13,60 pts | countable | J100 | RU | J100 Nicosia | 2025-11-10,60 pts | non_countable | J60 | WR | J60 Nicosia | 2025-11-03,60 pts | countable | J60 | WR | J60 Bari | 2025-10-06,45 pts | countable | J100 | RU | J100 Nicosia | 2025-11-10,45 pts | countable | J60 | WR | J60 Pescara | 2025-09-29,27 pts | countable | J60 | RU | J60 Nicosia | 2025-11-03,27 pts | countable | J100 | SF | J100 Clermont-Ferrand | 2025-08-25,0 pts | countable | J500 | R32 | J500 Milan | 2026-05-18,0 pts | non_countable | J200 | R16 | J200 Prato | 2026-05-05,2026-06-02T20:42:05.224Z
