player_id,player_name,gender,country,birth_year,official_rank,live_rank,official_points,live_points,points_change_vs_official,detail_type,event_type,slot,source_type,tournament_name,category,round,start_date,points_raw,points_weighted,status,drop_info,raw
800670945,JUNYA KAWAMURA,M,JPN,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Miki City | 2026-06-03 | drop
800670945,JUNYA KAWAMURA,M,JPN,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,not_started_or_unknown,,"{""tournament_key"":""J-J60-JPN-2026-002"",""tournament_name"":""J60 Miki City"",""category"":""J60"",""start_date"":""2026-06-03"",""end_date"":""2026-06-07"",""player_id"":""800670945"",""player_name"":""JUNYA KAWAMURA"",""nationality"":""JPN"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.873Z""}"
800784858,Justin-Li Moroney,M,NZL,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Miki City | 2026-06-03 | drop
800784858,Justin-Li Moroney,M,NZL,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,not_started_or_unknown,,"{""tournament_key"":""J-J60-JPN-2026-002"",""tournament_name"":""J60 Miki City"",""category"":""J60"",""start_date"":""2026-06-03"",""end_date"":""2026-06-07"",""player_id"":""800784858"",""player_name"":""Justin-Li Moroney"",""nationality"":""NZL"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.873Z""}"
800774120,Kango Endoh,M,JPN,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Miki City | 2026-06-03 | drop
800774120,Kango Endoh,M,JPN,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,not_started_or_unknown,,"{""tournament_key"":""J-J60-JPN-2026-002"",""tournament_name"":""J60 Miki City"",""category"":""J60"",""start_date"":""2026-06-03"",""end_date"":""2026-06-07"",""player_id"":""800774120"",""player_name"":""Kango Endoh"",""nationality"":""JPN"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.873Z""}"
800766810,Keiji Yamaguchi,M,JPN,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Miki City | 2026-06-03 | drop
800766810,Keiji Yamaguchi,M,JPN,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,not_started_or_unknown,,"{""tournament_key"":""J-J60-JPN-2026-002"",""tournament_name"":""J60 Miki City"",""category"":""J60"",""start_date"":""2026-06-03"",""end_date"":""2026-06-07"",""player_id"":""800766810"",""player_name"":""Keiji Yamaguchi"",""nationality"":""JPN"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.873Z""}"
800745866,Kodai ABE,M,JPN,,,681,,5,5,BEST_COUNTING_RESULT,singles,1,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,,drop,5 pts | LIVE | J60 | R32 | J60 Miki City | 2026-06-03 | drop
800745866,Kodai ABE,M,JPN,,,681,,5,5,LIVE_WEEK_RESULT,singles,,LIVE,J60 Miki City,J60,R32,2026-06-03,5,5,not_started_or_unknown,,"{""tournament_key"":""J-J60-JPN-2026-002"",""tournament_name"":""J60 Miki City"",""category"":""J60"",""start_date"":""2026-06-03"",""end_date"":""2026-06-07"",""player_id"":""800745866"",""player_name"":""Kodai ABE"",""nationality"":""JPN"",""player_type_code"":""B"",""player_type_desc"":""Boys"",""event_type"":""singles"",""event_classification"":""main_draw"",""matches_played"":""0"",""wins"":""0"",""losses"":""0"",""highest_round_order"":""1"",""highest_round_name"":""1st Round"",""total_rounds_in_draw"":5,""calculated_round_label"":""R32"",""status"":""not_started_or_unknown"",""live_points_raw"":5,""live_points_weighted"":5,""collected_at"":""2026-06-03T03:36:09.873Z""}"
